ALIM_CODE;FOOD_LABEL;nrj_kj;nrj_kcal;eau_g;sel_g;sodium_mg;magnesium_mg;phosphore_mg;potassium_mg;calcium_mg;manganese_mg;fer_mg;cuivre_mg;zinc_mg;selenium_mcg;iode_mcg;proteines_g;glucides_g;sucres_g;fructose_g;galactose_g;glucose_g;lactose_g;maltose_g;saccharose_g;amidon_g;polyols_g;fibres_g;lipides_g;ags_g;agmi_g;agpi_g;ag_04_0_g;ag_06_0_g;ag_08_0_g;ag_10_0_g;ag_12_0_g;ag_14_0_g;ag_16_0_g;ag_18_0_g;ag_18_1_ole_g;ag_18_2_lino_g;ag_18_3_a_lino_g;ag_20_4_ara_g;ag_20_5_epa_g;ag_20_6_dha_g;retinol_mcg;beta_carotene_mcg;vitamine_d_mcg;vitamine_e_mg;vitamine_k1_mcg;vitamine_k2_mcg;vitamine_c_mg;vitamine_b1_mg;vitamine_b2_mg;vitamine_b3_mg;vitamine_b5_mg;vitamine_b6_mg;vitamine_b12_mcg;vitamine_b9_mcg;alcool_g;acides_organiques_g;cholesterol_mg
19530;Spécialité fromagère non affinée à tartiner environ 30-40 % MG aromatisée (ex: ail et fines herbes);1510;367;50.8;1.2;479;7.7;130;111;93.8;0.05;0.21;0.05;1.05;4.1;15.5;7.66;4.24;1.86;0.05;0.05;0.05;1.86;0.05;0.05;0;0;0;35.3;23.9;8.11;0.86;1.32;0.88;0.55;0.91;1.18;3.91;11.2;3.12;6.78;0.59;0.12;0.04;0.005;0.005;232;55.5;0.4;0.66;0.55;0;0.5;0.024;0.17;0.56;0.25;0.05;0.24;28;0;0.42;69.3
19590;Mozzarella au lait de vache;949;229;62.7;0.6;240;20;354;76;545;0.03;0.44;0.011;2.92;16.3;37.2;16.5;0.75;0.7;0.05;0.05;0.05;0.7;0.05;0.05;0;0;0;17.7;11.7;4.24;0.45;0.62;0.41;0.26;0.48;0.6;1.95;5.43;1.61;3.58;0.34;0.06;0.02;0.005;0.005;174;57;0.4;0.19;2.3;0;0;0.03;0.28;0.1;0.14;0.037;2.28;7;0;0.12;79
19641;Faisselle, 6% MG environ;353;84.5;84.7;0.088;35;11;110;150;130;0.005;0.025;0.005;0.44;10;10;4.47;3.57;3.57;0.1;0.1;0.1;3.57;0.1;0.1;0;0;0;5.5;3.74;1.15;0.14;0.18;0.12;0.08;0.17;0.21;0.67;1.72;0.47;0.96;0.08;0.03;0.005;0.005;0.02;62.9;30;0.13;0.13;0.4;0;0.25;0.0075;0.12;0.17;0.43;0.024;0.33;9.22;0;0.96;18.2
19674;Flan aux oeufs, rayon frais;469;111;74.1;0.14;56;12.9;81;150;86.3;0.048;0.35;0.023;0.51;5;10;4.08;18.5;16;0.05;0.05;0.27;3.19;0.05;12.5;1.1;0;0.25;2.2;1.2;0.66;0.16;0.05;0.03;0.02;0.03;0.05;0.16;0.66;0.18;0.57;0.15;0.005;0.01;0.005;0.005;33.2;11;0.15;0.2;0.4;0;0.25;0.036;0.14;0.08;0.45;0.042;0.26;12.4;0;0.11;17
19678;Lait emprésuré aromatisé, rayon frais;507;120;72.1;0.15;98.8;9.5;71;235;208;0.05;0.38;0.05;0.48;5;10;5.63;17.6;16.5;0.06;0.05;0;3.2;0.14;10.9;0;0;0;2.5;0.8;0.62;0.082;0.038;0.022;0.015;0.03;0.036;0.12;0.42;0.12;0.51;0.064;0.0096;0.0035;0.0028;0.0028;33.2;11;0.15;0.2;0;0;0.25;0.036;0.17;0.08;0.45;0.042;0.26;12.4;0;1.5;17
19679;Lait gélifié aromatisé, nappé caramel, rayon frais;389;92.1;77.2;0.1;41;8.13;74;148;78.5;0.0016;0.38;0.011;0.31;2.25;7.9;2.55;16.7;14.5;0.94;0.05;2.28;3.2;0.58;7.51;2.21;0;1.5;1.3;0.91;0.27;0.02;0.04;0.03;0.02;0.04;0.05;0.16;0.43;0.12;0.24;0.02;0.005;0.005;0.005;0.005;33.2;11;0.15;0.2;0.4;0;0.25;0.036;0.17;0.08;0.45;0.042;0.26;12.4;0;0.12;5.58
19680;Lait gélifié aromatisé, rayon frais;524;124;75.2;0.14;55.4;14.5;81;181;120;0.1;0.61;0.11;0.55;2.5;7.8;3.39;19.5;17.6;0.3;0.0017;0.096;4.34;0.0017;12.9;0.77;0;0.52;3.53;2.15;0.97;0.13;0.095;0.056;0.039;0.076;0.092;0.3;1.06;0.31;0.73;0.09;0.01;0.0049;0.004;0.004;14.5;7;0.1;0.043;0.4;0;0.25;0.03;0.17;0.19;0.33;0.037;0.045;21.5;0;0;7.8
19801;Lait fermenté à boire, nature, maigre;143;33.9;90.6;0.088;35;10.2;91;120;160;0.5;0.5;0.0095;0.5;2.5;17;3.51;2.18;2.18;0.05;0.05;0.05;2.18;0.05;0.05;0;0;1.5;0.6;0.39;0.12;0.005;0.02;0.01;0.005;0.02;0.02;0.07;0.2;0.05;0.11;0.005;0.005;0.005;0.005;0.005;1;25;0;0.05;0.1;0.68;1.25;0.05;0.09;0.025;0.38;0.025;0.24;7.8;0;0.9;4.9
19805;Lait fermenté à boire, nature, au lait entier;233;56;88.3;0.088;35;12.7;95;155;127;0.009;0.05;0.01;0.44;1.3;24.3;3.38;1.99;1.99;0.05;0.05;0.05;1.99;0.05;0.05;0;0;1.5;3.2;2.24;0.7;0.04;0.11;0.08;0.05;0.1;0.12;0.39;1.06;0.28;0.58;0.04;0.005;0.005;0.005;0.005;30.6;19;0.1;0.092;0;8.15;0.3;0.045;0.2;0.087;0.31;0.038;0.18;6;0;0.89;14
19865;Kéfir de lait;266;63.5;87.6;0.12;49;12.7;95;155;127;0.009;0.05;0.01;0.44;1.3;24.3;3.19;4.5;3.62;0;0.04;0.01;3.58;0;0;0;0;0;3.5;2.33;0.97;0.1;0.12;0.078;0.051;0.11;0.14;0.4;1.07;0.36;0.8;0.075;0.027;0;0;0;30.6;19;0.1;0.092;0;0.68;0.3;0.045;0.2;0.087;0.31;0.038;0.18;21;0;0.41;14
